ticker,composite,technical,fundamental,sentiment,analysis_time
TOKE,7.048208547301307,1.0482085473013074,6.0,0.0,2025-02-14T18:18:54.501453
OVM,7.029229801131036,1.029229801131036,6.0,0.0,2025-02-14T18:05:19.912312
FPAS,7.013252661349813,0.01325266134981291,7.0,0.0,2025-02-14T17:39:55.079539
MBBB,7.005251029187688,1.0052510291876886,6.0,0.0,2025-02-14T17:58:35.817108
AJUL,7.000540913824564,0.5005409138245632,0.0,6.5,2025-02-14T17:20:34.200464
LFAF,6.985949954607064,0.9859499546070644,6.0,0.0,2025-02-14T17:54:32.969499
SVAL,6.9649329388943135,-0.03506706110568629,7.0,0.0,2025-02-14T18:17:16.512596
BAMV,6.9618659307198545,-0.03813406928014515,7.0,0.0,2025-02-14T17:23:41.076951
ESG,6.9617144261806025,1.9617144261806032,7.0,-2.0,2025-02-14T17:34:04.397671
FMAR,6.9370767297482185,0.9370767297482182,6.0,0.0,2025-02-14T17:39:31.074572
PSMD,6.927239335179086,-0.07276066482091323,7.0,0.0,2025-02-14T18:09:11.420805
DOGG,6.923408328506235,0.9234083285062347,6.0,0.0,2025-02-14T17:31:13.830248
FBCG,6.905519216657307,-0.09448078334269282,7.0,0.0,2025-02-14T17:36:10.223737
RSST,6.896570812119426,0.8965708121194255,6.0,0.0,2025-02-14T18:13:33.176298
NDOW,6.889370648247082,0.8893706482470826,6.0,0.0,2025-02-14T18:01:32.311810
VCRM,6.88717963223411,0.8871796322341104,6.0,0.0,2025-02-14T18:21:49.235756
TAIL,6.872772136772063,-0.1272278632279363,7.0,0.0,2025-02-14T18:17:32.632480
MLN,6.868005614132322,0.868005614132322,6.0,0.0,2025-02-14T17:59:44.349558
PBAU,6.858963668251712,0.8589636682517118,6.0,0.0,2025-02-14T18:05:56.258641
NJUN,6.852091680616655,0.8520916806166554,6.0,0.0,2025-02-14T18:01:44.666312
COPA,6.841763590533963,0.8417635905339637,6.0,0.0,2025-02-14T17:28:38.812562
AQLT,6.836104278379779,0.8361042783797792,6.0,0.0,2025-02-14T17:20:50.698501
BALI,6.812176080357856,-0.1878239196421433,7.0,0.0,2025-02-14T17:22:22.131611
NJUL,6.805337071206905,0.8053370712069053,6.0,0.0,2025-02-14T18:01:55.719102
SMDV,6.783690736695862,0.783690736695862,6.0,0.0,2025-02-14T18:15:39.260159
RDVI,6.774951212154114,-0.22504878784588556,7.0,0.0,2025-02-14T18:12:39.442919
OCTJ,6.752350770275205,0.7523507702752056,-4.0,10.0,2025-02-14T18:04:06.391913
SHYD,6.750331488521246,0.7503314885212454,8.0,-2.0,2025-02-14T18:15:26.815727
PBJN,6.747630542015478,0.747630542015478,6.0,0.0,2025-02-14T18:06:14.835036
EAOM,6.742812334618699,0.7428123346186987,6.0,0.0,2025-02-14T17:32:42.573607
RYSE,6.741616120549816,-0.2583838794501844,7.0,0.0,2025-02-14T18:13:51.338245
AUGP,6.724547014634895,0.7245470146348957,6.0,0.0,2025-02-14T17:22:08.870480
SFEB,6.69264006423416,-0.30735993576583953,7.0,0.0,2025-02-14T18:14:59.362494
SPYI,6.690187066100652,0.690187066100652,6.0,0.0,2025-02-14T18:16:44.500093
KSEP,6.682996259651491,-0.317003740348509,7.0,0.0,2025-02-14T17:54:17.751761
DSCF,6.678428276831667,1.1784282768316672,7.5,-2.0,2025-02-14T17:31:40.568938
DJAN,6.664550134456443,0.16455013445644298,6.5,0.0,2025-02-14T17:30:51.748634
LCF,6.6233141049917155,0.6233141049917151,6.0,0.0,2025-02-14T17:54:22.391482
SEPP,6.609998668411526,0.6099986684115266,6.0,0.0,2025-02-14T18:14:51.807008
